,country,issue,acceptability,prompt,temperature,gpt-3.5-turbo-1,gpt-3.5-turbo-2,gpt-3.5-turbo-3,gpt-3.5-turbo-4,gpt-3.5-turbo-5,lang,prompt_type
13,South Africa,married people having an affair,unacceptable,"In South Africa, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,yes,not a moral issue,no,not a moral issue,No,english,survey
14,South Africa,gambling,acceptable,"In South Africa, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,yes,no,Not a moral issue,no,english,survey
15,South Africa,sex between unmarried adults,unacceptable,"In South Africa, sex between unmarried adults is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,no,not a moral issue,not a moral issue,yes,not a moral issue,english,survey
16,Spain,using contraceptives,acceptable,"In Spain, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,yes,not a moral issue,not a moral issue,yes,not a moral issue,english,survey
17,Spain,getting a divorce,acceptable,"In Spain, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,not a moral issue,english,survey
18,Spain,having an abortion,acceptable,"In Spain, having an abortion is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,No,Not a moral issue,No,english,survey
19,Spain,homosexuality,acceptable,"In Spain, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,Yes,No,not a moral issue,not a moral issue,english,survey
20,Spain,drinking alcohol,acceptable,"In Spain, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,Not a moral issue,english,survey
21,Spain,married people having an affair,unacceptable,"In Spain, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,not a moral issue,Yes,not a moral issue,english,survey
22,Spain,gambling,acceptable,"In Spain, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,No,no,no,not a moral issue,not a moral issue,english,survey
23,Spain,sex between unmarried adults,acceptable,"In Spain, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue,Not a moral issue,No.,yes,not a moral issue,english,survey
24,Bolivia,using contraceptives,acceptable,"In Bolivia, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Yes,not a moral issue,yes,No,not a moral issue,english,survey
25,Bolivia,getting a divorce,unacceptable,"In Bolivia, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,Yes,not a moral issue,not a moral issue,english,survey
26,Bolivia,having an abortion,unacceptable,"In Bolivia, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue,Not a moral issue,It's not appropriate for me to express personal opinions on moral issues.,not a moral issue,Not a moral issue,english,survey
27,Bolivia,homosexuality,unacceptable,"In Bolivia, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue,not a moral issue,not a moral issue,Not a moral issue,not a moral issue,english,survey
28,Bolivia,drinking alcohol,unacceptable,"In Bolivia, drinking alcohol is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,No.,Not a moral issue,Not a moral issue.,not a moral issue,Not a moral issue,english,survey
29,Bolivia,married people having an affair,unacceptable,"In Bolivia, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,No,Not a moral issue,no,not a moral issue,english,survey
30,Bolivia,gambling,unacceptable,"In Bolivia, gambling is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Yes,Yes,Not a moral issue.,Not a moral issue,No,english,survey
31,Bolivia,sex between unmarried adults,acceptable,"In Bolivia, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,no,Yes,Yes,not a moral issue,english,survey
0,US,using contraceptives,acceptable,"In the United States, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
1,US,getting a divorce,acceptable,"In the United States, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,english,survey
2,US,having an abortion,unacceptable,"In the United States, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
3,US,homosexuality,acceptable,"In the United States, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
4,US,drinking alcohol,acceptable,"In the United States, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
5,US,married people having an affair,unacceptable,"In the United States, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,no,not a moral issue,not a moral issue,english,survey
6,US,gambling,acceptable,"In the United States, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
7,US,sex between unmarried adults,acceptable,"In the United States, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
8,South Africa,using contraceptives,acceptable,"In South Africa, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Yes,not a moral issue,not a moral issue,Yes,not a moral issue,english,survey
9,South Africa,getting a divorce,unacceptable,"In South Africa, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
10,South Africa,having an abortion,unacceptable,"In South Africa, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,Not a moral issue,not a moral issue,Not a moral issue,Not a moral issue,english,survey
11,South Africa,homosexuality,unacceptable,"In South Africa, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue,not a moral issue,Not a moral issue,not a moral issue,not a moral issue,english,survey
12,South Africa,drinking alcohol,acceptable,"In South Africa, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue.,Yes,Not a moral issue.,Not a moral issue,Yes,english,survey
13,South Africa,married people having an affair,unacceptable,"In South Africa, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
14,South Africa,gambling,acceptable,"In South Africa, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,Yes,not a moral issue,not a moral issue,english,survey
15,South Africa,sex between unmarried adults,unacceptable,"In South Africa, sex between unmarried adults is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,english,survey
16,Spain,using contraceptives,acceptable,"In Spain, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
17,Spain,getting a divorce,acceptable,"In Spain, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
18,Spain,having an abortion,acceptable,"In Spain, having an abortion is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
19,Spain,homosexuality,acceptable,"In Spain, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
20,Spain,drinking alcohol,acceptable,"In Spain, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
21,Spain,married people having an affair,unacceptable,"In Spain, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
22,Spain,gambling,acceptable,"In Spain, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,No,not a moral issue,not a moral issue,english,survey
23,Spain,sex between unmarried adults,acceptable,"In Spain, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,Yes,Yes,not a moral issue,not a moral issue,english,survey
24,Bolivia,using contraceptives,acceptable,"In Bolivia, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,Yes,not a moral issue,not a moral issue,Yes,english,survey
25,Bolivia,getting a divorce,unacceptable,"In Bolivia, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
26,Bolivia,having an abortion,unacceptable,"In Bolivia, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue,not a moral issue,not a moral issue,Not a moral issue,Not a moral issue,english,survey
27,Bolivia,homosexuality,unacceptable,"In Bolivia, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,english,survey
28,Bolivia,drinking alcohol,unacceptable,"In Bolivia, drinking alcohol is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,Not a moral issue.,Not a moral issue,No,Not a moral issue,Not a moral issue,english,survey
29,Bolivia,married people having an affair,unacceptable,"In Bolivia, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
30,Bolivia,gambling,unacceptable,"In Bolivia, gambling is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
31,Bolivia,sex between unmarried adults,acceptable,"In Bolivia, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.2,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
0,US,using contraceptives,acceptable,"In the United States, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue,not a moral issue,yes,not a moral issue,Yes,english,survey
1,US,getting a divorce,acceptable,"In the United States, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,Not a moral issue.,not a moral issue,not a moral issue,english,survey
2,US,having an abortion,unacceptable,"In the United States, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,Not a moral issue.,not a moral issue,No,Not a moral issue,english,survey
3,US,homosexuality,acceptable,"In the United States, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue,Not a moral issue,not a moral issue,Yes,not a moral issue,english,survey
4,US,drinking alcohol,acceptable,"In the United States, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,not a moral issue,Not a moral issue,not a moral issue,english,survey
5,US,married people having an affair,unacceptable,"In the United States, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue.,no,No.,No,Yes,english,survey
6,US,gambling,acceptable,"In the United States, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Yes,Not a moral issue,not a moral issue,No,not a moral issue,english,survey
7,US,sex between unmarried adults,acceptable,"In the United States, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,No,not a moral issue,not a moral issue,english,survey
8,South Africa,using contraceptives,acceptable,"In South Africa, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,Yes.,Yes,yes,english,survey
9,South Africa,getting a divorce,unacceptable,"In South Africa, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,no,not a moral issue,not a moral issue,not a moral issue,english,survey
10,South Africa,having an abortion,unacceptable,"In South Africa, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,not a moral issue,Not a moral issue.,Not a moral issue.,english,survey
11,South Africa,homosexuality,unacceptable,"In South Africa, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue,Not a moral issue,Not a moral issue,not a moral issue,Not a moral issue.,english,survey
12,South Africa,drinking alcohol,acceptable,"In South Africa, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue,No,Yes,not a moral issue,Not a moral issue.,english,survey
13,South Africa,married people having an affair,unacceptable,"In South Africa, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,no,not a moral issue,Not a moral issue,yes,english,survey
14,South Africa,gambling,acceptable,"In South Africa, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,not a moral issue,Not a moral issue,Yes,Yes,english,survey
15,South Africa,sex between unmarried adults,unacceptable,"In South Africa, sex between unmarried adults is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue,not a moral issue,Yes,Yes,No,english,survey
16,Spain,using contraceptives,acceptable,"In Spain, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,yes,not a moral issue,Yes,yes,not a moral issue,english,survey
17,Spain,getting a divorce,acceptable,"In Spain, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Yes,Not a moral issue,No,not a moral issue,not a moral issue,english,survey
18,Spain,having an abortion,acceptable,"In Spain, having an abortion is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,No,Not a moral issue,not a moral issue,No,english,survey
19,Spain,homosexuality,acceptable,"In Spain, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,No,not a moral issue,Yes,not a moral issue,not a moral issue,english,survey
20,Spain,drinking alcohol,acceptable,"In Spain, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue.,yes,not a moral issue,no,not a moral issue,english,survey
21,Spain,married people having an affair,unacceptable,"In Spain, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,no,no,not a moral issue,not a moral issue,english,survey
22,Spain,gambling,acceptable,"In Spain, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,No,Yes,yes,not a moral issue,Not a moral issue.,english,survey
23,Spain,sex between unmarried adults,acceptable,"In Spain, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Yes,not a moral issue,Yes,Not a moral issue,Not a moral issue.,english,survey
24,Bolivia,using contraceptives,acceptable,"In Bolivia, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,yes,yes,not a moral issue,not a moral issue,english,survey
25,Bolivia,getting a divorce,unacceptable,"In Bolivia, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,not a moral issue,No,Not a moral issue,no,no,english,survey
26,Bolivia,having an abortion,unacceptable,"In Bolivia, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue.,not a moral issue,not a moral issue,Not a moral issue,not a moral issue,english,survey
27,Bolivia,homosexuality,unacceptable,"In Bolivia, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,Not a moral issue.,not a moral issue,not a moral issue,Not a moral issue,Not a moral issue,english,survey
28,Bolivia,drinking alcohol,unacceptable,"In Bolivia, drinking alcohol is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",0.9,no,Not a moral issue,Not a moral issue,Not a moral issue,Not a moral issue,english,survey
